"","sibs","age","incom16","pasei10","masei10","granborn","reg16east_south_atlantic","reg16foreign","reg16middle_atlantic","reg16mountain","reg16new_england","reg16pacific","reg16south_atlantic","reg16west_north_central","reg16west_south_central","res16in_a_large_city_(over_250,000)","res16in_a_medium-size_city_(50,000-250,000)","res16in_a_small_city_or_town_(under_50,000)","res16in_a_suburb_near_a_large_city","res16in_open_country_but_not_on_a_farm","res16large_city","res16medium_size_city","res16small_city_or_town"
"645",2,65,2,35.3,28.6,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"648",1,52,2,87.6,38.3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"653",1,39,2,50,35.3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"661",3,60,4,91.1,37.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"664",1,68,2,37.6,38.8,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"683",7,44,4,37.6,82.5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"686",1,57,3,84.5,25.7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
"699",4,55,3,67.7,54.6,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"702",2,28,4,39.2,20.7,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"706",1,27,3,20.7,38.8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"709",2,72,3,19,26.8,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"711",6,57,2,84.5,87.3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"726",2,79,2,23.2,38.3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"731",4,49,3,85.2,61.4,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
"762",5,68,2,53.7,31.9,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"763",1,38,1,25.2,24.2,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"766",1,35,1,21.6,21.6,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
"780",1,69,3,62,34.8,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
"783",4,66,2,62,72.5,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"786",1,62,3,52.1,39.7,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"797",2,64,1,39.9,21.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"805",1,56,3,25,38.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"814",1,40,3,57.5,38.8,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"823",3,66,3,50.4,61.5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"828",5,67,1,39.7,26.8,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"831",3,39,1,51.5,26.8,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
"836",3,57,2,45.4,24.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"852",1,22,4,85,81,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"872",3,68,3,26.8,20.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"882",2,76,3,31.2,39.9,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"887",2,53,3,43.8,56.9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"892",0,51,3,50.4,20.8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"893",4,54,3,77,59.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"905",4,59,3,56.9,38.8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"910",3,70,2,23.3,38.3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"921",2,21,3,46,38.3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
"922",2,44,4,48.8,38.2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"984",1,82,2,39.9,12.6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"998",3,60,3,50.4,38.8,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"1011",3,69,3,32,13.2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"1013",1,36,3,69.3,46.6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"1023",0,39,3,60.3,60.3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
